WEINSAEU,ESSAEU,ZTROSAEU,RESTZUCKER,CHLORIDE,DICHTE,PH,SULFAT,ALKOHOL,SORTE
"6,8","0,25","0,18","1,4","0,056","0,9935","3,11","0,42","9,5",4
"6,6","0,22","0,3","14,7","0,045","0,99704","3,14","0,37","10,6",2
"6,1","0,32","0,33","10,7","0,036","0,99521","3,34","0,52","10,2",3
"6,5","0,32","0,23","8,5","0,051","0,9943","3,03","0,42","10,7",2
"7,5","0,25","0,47","4,1","0,041","0,99184","2,92","0,59","11,3",2
"5,8","0,29","0,27","1,6","0,062","0,99138","3,23","0,35","11,1",3
"7,5","0,31","0,51","14,8","0,039","0,9982","3,06","0,6","9,5",1
"7,1","0,2","0,3","0,9","0,019","0,98931","3,2","0,36",12,4
7,"0,13","0,37","12,85","0,042","0,99581","3,05","0,55","10,7",3
"8,1","0,34","0,28","7,5","0,04","0,99558","3,14","0,55","9,8",2
"6,1","0,41","0,04","1,3","0,036","0,99228","3,24","0,61","9,9",2
"7,4","0,35","0,2","13,9","0,054","0,99888","3,11","0,5","8,9",4
"8,2","0,29","0,33","9,1","0,036","0,9953","2,96","0,4","10,9",3
7,"0,15","0,28","14,7","0,051","0,99792","2,96","0,39",9,1
"7,2","0,17","0,34","6,4","0,042","0,99278","2,99","0,4","10,8",3
"7,2","0,27","0,28","15,2","0,046","0,99665","3,17","0,39","10,9",3
8,"0,43","0,4","12,4","0,168","0,9991","3,07","0,64","9,2",1
"6,6","0,27","0,33","1,4","0,042","0,99215","3,29","0,46","10,7",2
"6,7","0,29","0,49","4,7","0,034","0,9945","3,13","0,45","9,9",2
"6,1","0,21","0,3","6,3","0,039","0,99068","3,27","0,31","12,7",4
"6,3","0,21","0,29","11,7","0,048","0,99482","3,22","0,38","10,8",4
"6,1","0,17","0,29","1,1","0,041","0,99036","3,26","0,57","11,2",3
7,"0,4","0,25","1,8","0,05","0,99174",3,"0,55","11,4",3
"7,1","0,31","0,38","1,2","0,036","0,9924","3,14","0,44","9,9",2
"5,7","0,29","0,16","7,9","0,044","0,99512","3,21","0,36","9,4",1
"7,8","0,16","0,41","1,7","0,026","0,991","3,02","0,78","12,5",3
7,"0,2","0,74","0,8","0,044","0,9931","3,46","0,53","10,2",2
"6,8","0,24","0,33","3,2","0,049","0,99324","3,1","0,69","10,2",1
7,"0,53","0,43","6,1","0,029","0,99118","3,08","0,5","12,5",4
"5,3","0,43","0,11","1,1","0,029","0,99076","3,51","0,48","11,2",4
"7,8","0,49","0,49",7,"0,043","0,9952","3,21","0,33",10,2
6,"0,2","0,25",2,"0,041","0,99078","3,27","0,56","11,1",2
"6,7","0,21","0,37","2,5","0,034","0,9913","3,25","0,5",11,2
"6,7","0,31","0,08","1,3","0,038","0,9922","3,18","0,46",10,2
"7,2","0,31","0,46",5,"0,04","0,9906","3,04","0,53","12,5",2
"6,4","0,44","0,26",2,"0,054","0,9952","3,58","0,57",10,1
"6,7","0,22","0,37","1,6","0,028","0,9913","3,29","0,59","11,6",3
"7,2","0,24","0,3","1,6","0,048","0,9933","3,25","0,45","10,5",2
"6,7","0,23","0,31","2,1","0,046","0,9926","3,33","0,64","10,7",1
"7,8","0,43","0,49",13,"0,033","0,9955","3,14","0,35","11,3",3
"7,5","0,33","0,36","2,6","0,051","0,99097","3,32","0,53","12,7",4
"8,5","0,22","0,34","0,7","0,04","0,9918","3,04","0,37","10,5",2
"7,7","0,38","0,23","10,8","0,03","0,99164","2,93","0,41","13,6",4
"7,6","0,3","0,27","10,6","0,039","0,99815","3,27","0,3","9,3",1
"6,5","0,25","0,35",12,"0,055","0,998","3,58","0,47",10,2
"7,1","0,37","0,32","1,4","0,037","0,9918","3,19","0,62",12,4
"7,6","0,2","0,3","14,2","0,056","0,999","3,14","0,46","8,9",1
"7,8","0,18","0,46","13,6","0,052","0,998","3,15","0,5",10,2
"7,8","0,2","0,2","1,4","0,036","0,99088","3,03","0,46","11,7",3
"4,2","0,17","0,36","1,8","0,029","0,98999","3,65","0,89",12,4
7,"0,45","0,34","19,8","0,04","0,9976","3,07","0,38",11,2
"6,2","0,24","0,25","12,5","0,055","0,99758","3,3","0,51",9,2
"6,5","0,24","0,29","8,2","0,043","0,99453","3,13","0,7","10,1",2
"5,8","0,22","0,25","1,5","0,024","0,99234","3,37","0,58","10,4",1
"6,8","0,46","0,26","6,3","0,147","0,99434","3,14","0,47",10,2
6,"0,67","0,07","1,2","0,06","0,9931","3,11","0,35","8,7",1
"6,4","0,23","0,26","8,1","0,054","0,9954","3,12","0,49","9,4",1
"10,7","0,22","0,56","8,2","0,044","0,998","2,87","0,68","9,5",2
"6,8","0,18","0,28","8,7","0,047","0,9952","3,22","0,53","10,5",4
"6,4","0,3","0,38","7,8","0,046","0,9955","3,1","0,37",9,1
"6,6","0,25","0,3","14,4","0,052","0,998","3,02","0,5","9,1",2
"6,9","0,3","0,45","1,4","0,039","0,99059","3,07","0,47","11,1",4
"8,5","0,15","0,49","1,5","0,031","0,9932","3,03","0,4","10,3",4
"6,6","0,28","0,41",7,"0,046","0,99558","3,14","0,48","9,4",1
"7,5","0,24","0,29","1,1","0,046","0,9902","3,04","0,39","11,45",2
"6,2","0,25","0,54",7,"0,046","0,99454","3,19","0,7","10,4",2
6,"0,33","0,2","1,8","0,031","0,9919","3,41","0,53",11,4
"6,4","0,24","0,25","20,2","0,083","0,99976","3,17","0,5","9,1",3
"6,3","0,23","0,22","3,75","0,039","0,9927","3,23","0,5","10,7",4
"6,2","0,29","0,32","3,6","0,026","0,9892","3,31","0,37","13,1",4
5,"0,61","0,12","1,3","0,009","0,9874","3,26","0,37","13,5",4
"7,4","0,21","0,27","1,2","0,041","0,9927","3,19","0,33","9,8",2
"7,8","0,28","0,31","2,1","0,046","0,99434","3,23","0,64","9,8",3
"6,3","0,2","0,58","1,4","0,204","0,9931","3,16","0,43",10,2
"6,3","0,2","0,18","10,6","0,045","0,99666","3,09","0,54","9,2",2
7,"0,21","0,28","8,7","0,045","0,9954","3,25","0,54","10,4",1
"7,1","0,29","0,49","1,2","0,031","0,9893","3,07","0,33","12,2",4
"6,5","0,28","0,29","2,7","0,038","0,9912","3,32","0,41","11,6",4
"6,8","0,26","0,44","8,2","0,046","0,99584","3,2","0,51","9,4",4
"7,3","0,26","0,31","1,6","0,04","0,9918","3,19","0,51","11,4",3
"7,9","0,345","0,51","15,3","0,047","0,9987","3,09","0,51","9,1",1
"6,6","0,32","0,27","10,9","0,041","0,9963","3,24","0,47",10,2
"7,4","0,18","0,27","1,3","0,048","0,994","3,52","0,66","10,6",4
"6,8","0,26","0,26",2,"0,019","0,99041","3,16","0,47","11,8",4
"6,6","0,26","0,21","2,9","0,026","0,99089","3,22","0,38","11,3",4
"5,6","0,18","0,3","10,2","0,028","0,9954","3,49","0,42","10,8",3
"6,6","0,2","0,38","7,9","0,052","0,9947","3,32","0,56",11,1
"6,8","0,24","0,29",2,"0,044","0,99232","3,23","0,64","10,4",4
"6,9","0,37","0,23","9,5","0,057","0,99568","3,23","0,42",10,2
"7,2","0,15","0,39","1,8","0,043","0,9948","3,52","0,47",10,2
"6,2","0,22","0,3","12,4","0,054","0,99728","3,1","0,47","9,5",2
"6,1","0,28","0,32","2,5","0,042","0,9935","3,27","0,6","9,8",2
"7,2","0,18","0,41","1,2","0,048","0,9919","3,14","0,45","10,4",3
"5,9","0,37","0,32","1,6","0,029","0,98916","3,41","0,55","12,7",3
8,"0,24","0,26","1,7","0,033","0,99316","3,44","0,51","10,4",1
"6,2","0,18","0,49","4,5","0,047","0,9919","3,27","0,37","11,6",3
"6,5","0,33","0,28","6,1","0,018","0,99122","3,24","0,32","12,2",3
"7,7","0,32","0,62","10,6","0,036","0,9978","3,13","0,44","8,9",1
"6,9","0,3","0,36","0,9","0,037","0,98968","3,08","0,36","12,1",3
"5,7","0,26","0,27","4,1","0,201","0,9942","3,27","0,38","9,4",3
"6,4","0,31","0,31","12,9","0,045","0,99546","3,02","0,59","10,2",2
"6,2","0,32","0,24","4,1","0,051","0,99306","3,36","0,52",11,3
"6,9","0,35","0,39","2,4","0,048","0,99133","3,2","0,54","11,1",3
8,"0,24","0,36","1,5","0,047","0,9948","3,2","0,54",10,4
"7,8","0,31","0,4","1,6","0,027","0,9911","3,15","0,48","11,9",4
"7,4","0,27","0,26","11,8","0,053","0,99699","3,11","0,6","9,8",2
"6,1","0,41","0,2","12,6","0,032","0,99516","2,91","0,43","10,6",3
"8,3","0,49","0,23","6,65","0,034","0,99344","3,05","0,48","11,2",4
"6,4","0,29","0,18",15,"0,04","0,99736","3,14","0,5","9,2",3
"5,5","0,375","0,38","1,7","0,036","0,99142","3,29","0,39","10,5",4
"6,8","0,16","0,29","10,4","0,046","0,99518","3,2","0,4","10,8",3
"8,6","0,16","0,49","7,3","0,043","0,9953","3,13","0,59","10,5",3
"7,8","0,29","0,36",7,"0,042","0,9941","3,26","0,37","11,2",3
6,"0,52","0,33","7,7","0,046","0,99224","3,04","0,38",11,4
"6,9","0,28","0,41","1,4","0,016","0,98876","3,16","0,4","13,4",4
"9,9","0,49","0,23","2,4","0,087","0,9948","2,77","0,44","9,4",2
"6,6","0,25","0,24","1,7","0,048","0,9942","3,37","0,6","10,1",2
"6,6","0,41","0,16","1,4","0,037","0,99167","2,95","0,45","10,6",1
5,"0,33","0,16","1,5","0,049","0,9917","3,48","0,44","10,7",3
"7,1","0,36","0,56","1,3","0,046","0,9923","3,24","0,33","10,5",2
"6,6","0,21","0,49","18,15","0,042","0,9997","3,28","0,39","8,7",1
"6,9","0,14","0,38",1,"0,041","0,99043","3,03","0,54","11,4",3
"6,2","0,12","0,26","5,7","0,044","0,9951","3,52","0,37","10,5",4
"5,2","0,22","0,46","6,2","0,066","0,99362","3,19","0,42","9,73333333333333",1
"6,3","0,21","0,58",10,"0,081","0,9962","2,95","0,46","8,9",2
"8,3","0,2","0,74","4,45","0,044","0,9924","3,25","0,42","12,2",4
"6,1","0,68","0,52","1,4","0,037","0,99022","3,24","0,45",12,4
"6,6","0,3","0,45",8,"0,038","0,9956","3,18","0,48","9,5",1
"6,7","0,14","0,46","1,6","0,036","0,99264","3,37","0,49","10,9",4
"6,7","0,31","0,44","6,7","0,054","0,9952","3,04","0,44","9,6",3
"6,4","0,37","0,49","13,3","0,045","0,9982","3,14","0,48","8,5",1
"7,3","0,19","0,27","1,6","0,027","0,99248","3,38","0,54",11,2
9,"0,31","0,49","6,9","0,034","0,9937","2,99","0,34","11,5",3
6,"0,33","0,2","1,8","0,031","0,9919","3,41","0,53",11,3
"6,7","0,31","0,3","2,4","0,038","0,98867","3,09","0,36","12,8",3
9,"0,31","0,48","6,6","0,043","0,9938","2,9","0,38","11,6",3
"3,8","0,31","0,02","11,1","0,036","0,99248","3,75","0,44","12,4",4
"7,5","0,22","0,29","4,8","0,05","0,994","3,14","0,42","9,9",2
